Number of parameters: 990
Epoch 19: Loss = 0.494024, accuracy = 82.2500 %
Epoch 20: Loss = 0.483224, accuracy = 81.5000 %
Epoch 21: Loss = 0.483567, accuracy = 82.0500 %
Epoch 22: Loss = 0.481735, accuracy = 82.2500 %
Epoch 23: Loss = 0.477884, accuracy = 82.3500 %
Epoch 24: Loss = 0.477370, accuracy = 82.7000 %
Epoch 25: Loss = 0.472973, accuracy = 82.9000 %
Epoch 26: Loss = 0.470116, accuracy = 82.4000 %
Epoch 27: Loss = 0.471726, accuracy = 82.7000 %
Epoch 28: Loss = 0.467629, accuracy = 82.9500 %
Epoch 29: Loss = 0.465036, accuracy = 82.6000 %
Epoch 30: Loss = 0.462838, accuracy = 82.5500 %
Epoch 31: Loss = 0.462470, accuracy = 83.3000 %
Epoch 32: Loss = 0.460257, accuracy = 82.7000 %
Epoch 33: Loss = 0.460138, accuracy = 82.9000 %
Epoch 34: Loss = 0.460744, accuracy = 83.0500 %
Epoch 35: Loss = 0.458516, accuracy = 82.6000 %
Epoch 36: Loss = 0.458360, accuracy = 83.4000 %
Epoch 37: Loss = 0.457812, accuracy = 82.8000 %
Epoch 38: Loss = 0.456698, accuracy = 82.8500 %
Epoch 39: Loss = 0.456121, accuracy = 83.1000 %


Number of parameters: 990
Epoch 0: Loss = 1.263956, accuracy = 54.2500 %
Epoch 1: Loss = 0.885854, accuracy = 67.5000 %
Epoch 2: Loss = 0.768796, accuracy = 69.8000 %
Epoch 3: Loss = 0.700590, accuracy = 74.1000 %
Epoch 4: Loss = 0.672127, accuracy = 74.9000 %
Epoch 5: Loss = 0.643767, accuracy = 76.8000 %
Epoch 6: Loss = 0.624840, accuracy = 77.1500 %
Epoch 7: Loss = 0.606033, accuracy = 78.0500 %
Epoch 8: Loss = 0.570989, accuracy = 79.2000 %
Epoch 9: Loss = 0.568658, accuracy = 78.5000 %
Epoch 10: Loss = 0.561478, accuracy = 79.9000 %
Epoch 11: Loss = 0.548039, accuracy = 79.4000 %
Epoch 12: Loss = 0.545243, accuracy = 79.1000 %
Epoch 13: Loss = 0.530758, accuracy = 81.2500 %
Epoch 14: Loss = 0.525427, accuracy = 80.8500 %
Epoch 15: Loss = 0.517827, accuracy = 81.2500 %
Epoch 16: Loss = 0.515600, accuracy = 80.6500 %
Epoch 17: Loss = 0.508526, accuracy = 80.7000 %
Epoch 18: Loss = 0.504727, accuracy = 81.5000 %
Epoch 19: Loss = 0.499565, accuracy = 81.7500 %
Epoch 20: Loss = 0.497492, accuracy = 82.0500 %
Epoch 21: Loss = 0.498029, accuracy = 81.7500 %
Epoch 22: Loss = 0.495184, accuracy = 82.0500 %
Epoch 23: Loss = 0.488578, accuracy = 81.9500 %
Epoch 24: Loss = 0.482375, accuracy = 82.6500 %
Epoch 25: Loss = 0.483859, accuracy = 82.3500 %
Epoch 26: Loss = 0.478898, accuracy = 82.3500 %
Epoch 27: Loss = 0.477961, accuracy = 82.1500 %
Epoch 28: Loss = 0.475722, accuracy = 82.7000 %
Epoch 29: Loss = 0.476353, accuracy = 82.5500 %
Epoch 30: Loss = 0.473985, accuracy = 82.6500 %
Epoch 31: Loss = 0.472971, accuracy = 82.4500 %
Epoch 32: Loss = 0.471135, accuracy = 82.6500 %
Epoch 33: Loss = 0.471027, accuracy = 82.7500 %
Epoch 34: Loss = 0.470746, accuracy = 82.5500 %
Epoch 35: Loss = 0.468649, accuracy = 82.5500 %
Epoch 36: Loss = 0.468497, accuracy = 82.3000 %
Epoch 37: Loss = 0.467399, accuracy = 83.1500 %
Epoch 38: Loss = 0.466178, accuracy = 83.0500 %
Epoch 39: Loss = 0.465812, accuracy = 82.8000 %
